layers	total_reads_mapped	num_SNVs_reported	total_reads_kept	proteotype	main_group	S-LLPA mean ecological niche	HIMB83 mean coverage	coefficient of HIMB083 genes variation	NCBI Biosample	Number of sequencing pairs	Number of QC sequencing pairs	Location	Project	Depth (m)	Depth Id	Size fractionnation (um)	Year	Month	Day	Exact sampling date	Latitude	Longitude	Chlorophyll Sensor s	Temperature (deg C)	Salinity (PSU)	Oxygen (umol/kg)	Nitrates (umol/L)	NO2 (umol/L)	PO4 (umol/L)	NO2NO3 (umol/L)	SI (umol/L)
PSW_128_05M	4976647	980288	4976151	A	cold	Yes	190.93	1.04	SAMEA2622901	153192261	125277547	Pacific_Ocean_(South_West)	TARA_Oceans	5.45	SRF	0.22-3	2011	9	4	9/4/2011__6:04:00_PM	0.0	-153.68	0.24	26.07	35.10	179.86	2.47	0.27	0.54	5.08	2.67
PSW_128_40M	5702921	1021558	5702505	A	cold	Yes	227.62	1.04	SAMEA2622923	148907935	142551731	Pacific_Ocean_(South_West)	TARA_Oceans	41.66	DCM	0.22-3	2011	9	4	9/4/2011__11:14:00_PM	0.0	-153.68	0.0	26.08	35.14	176.98	4.37	0.28	0.55	5.26	2.74
RED_31_05M	10081424	1043077	10081142	F	hot	Yes	467.13	0.74	SAMEA2619802	200875762	179887395	Red_Sea	TARA_Oceans	5.43	SRF	0.22-1.6	2010	1	9	1/9/2010__7:25:00_AM	27.16	34.83	0.0	25.06	39.98	188.76	-0.14	0.01	0.02	0.03	0.82
RED_32_05M	10270256	997036	10269955	F	hot	Yes	501.57	0.72	SAMEA2619818	176489756	169546486	Red_Sea	TARA_Oceans	5.43	SRF	0.22-1.6	2010	1	11	1/11/2010__7:27:00_AM	23.36	37.22	0.0	25.82	39.75	188.42	-0.54	0.01	0.02	0.00	0.87
RED_32_80M	5874262	892336	5874238	F	hot	Yes	250.21	0.75	SAMEA2619840	197011370	181509024	Red_Sea	TARA_Oceans	85.47	DCM	0.22-1.6	2010	1	11	1/11/2010__7:14:00_PM	23.38	37.29	0.0	26.05	40.20	179.97	1.20	0.01	0.03	0.01	0.85
RED_33_05M	16424762	1273590	16422049	D	hot	Yes	715.03	0.67	SAMEA2619857	127535172	115924494	Red_Sea	TARA_Oceans	5.37	SRF	0.22-1.6	2010	1	13	1/13/2010__8:00:00_AM	21.98	38.24	0.0	27.33	38.94	182.81	0.00	0.00	0.05	0.00	1.15
RED_34_05M	14430789	1298775	14428980	D	hot	Yes	632.71	0.66	SAMEA2619879	120654212	111236295	Red_Sea	TARA_Oceans	5.43	SRF	0.22-1.6	2010	1	20	1/20/2010__4:50:00_AM	18.4	39.88	0.0	27.6	38.65	184.06	-0.93	0.02	0.19	0.03	3.91
RED_34_60M	2780838	675944	2780814	F	hot	Yes	102.71	0.73	SAMEA2619907	224708079	205417117	Red_Sea	TARA_Oceans	60.13	DCM	0.22-1.6	2010	1	20	1/20/2010__7:44:00_AM	18.4	39.86	0.0	27.59	38.92	175.38	0.09	0.27	0.09	0.64	1.35
SOC_84_05M	19274646	1320534	19274646			No	4.87	3.72	SAMEA2621487	221165348	204696214	Southern_Ocean	TARA_Oceans	5.9	SRF	0.22-3	2011	1	3	1/3/2011__11:10:00_AM	-60.23	-60.65	0.0	1.84	33.72	338.30	24.42	0.27	1.72	25.30	16.55
SOC_85_05M	29781552	1290366	29781552			No	7.34	3.74	SAMEA2621509	200850545	169641632	Southern_Ocean	TARA_Oceans	5.94	SRF	0.22-3	2011	1	6	1/6/2011__10:26:00_AM	-62.03	-49.54	0.0	0.67	34.35	343.44	27.50	0.11	2.11	28.50	79.52
SOC_85_90M	17639887	1262919	17639887			No	5.19	3.75	SAMEA2621536	218489282	196949989	Southern_Ocean	TARA_Oceans	87.44	DCM	0.22-3	2011	1	6	1/6/2011__8:36:00_PM	-62.24	-49.18	0.0	-0.78	34.32	325.40	33.11	0.06	2.31	31.00	81.82
