layers	total_reads_mapped	num_SNVs_reported	total_reads_kept	proteotype	main_group	S-LLPA mean ecological niche	HIMB83 mean coverage	coefficient of HIMB083 genes variation	NCBI Biosample	Number of sequencing pairs	Number of QC sequencing pairs	Location	Project	Depth (m)	Depth Id	Size fractionnation (um)	Year	Month	Day	Exact sampling date	Latitude	Longitude	Chlorophyll Sensor s	Temperature (deg C)	Salinity (PSU)	Oxygen (umol/kg)	Nitrates (umol/L)	NO2 (umol/L)	PO4 (umol/L)	NO2NO3 (umol/L)	SI (umol/L)
MED_18_05M	8340285	1782618	8340282	C	cold	Yes	97.06	1.12	SAMEA2619667	207488154	185051872	Mediterranean_Sea	TARA_Oceans	5.43	SRF	0.22-1.6	2009	11	2	11/2/2009__8:18:00_AM	35.76	14.26	0.31	21.44	37.89	207.79	NA	0.02	0.03	0.12	0.56
MED_18_60M	6631556	1573746	6631554	C	cold	Yes	71.48	1.18	SAMEA2619678	204010591	181043056	Mediterranean_Sea	TARA_Oceans	61.64	DCM	0.22-1.6	2009	11	2	11/2/2009__12:43:00_PM	35.76	14.25	1.02	18.37	37.89	237.89	NA	0.03	0.01	0.02	0.62
MED_23_05M	5051200	1154164	5051176			No	25.56	1.18	SAMEA2591084	74783005	65438469	Mediterranean_Sea	TARA_Oceans	5.47	SRF	0.22-1.6	2009	11	18	11/18/2009__8:23:00_AM	42.21	17.71	0.11	17.64	38.19	220.00	NA	0.01	0.01	0.04	1.38
MED_25_05M	14085038	1903578	14085029			No	67.89	1.48	SAMEA2619766	228780211	204497785	Mediterranean_Sea	TARA_Oceans	5.52	SRF	0.22-1.6	2009	11	23	11/23/2009__9:14:00_AM	39.39	19.39	0.07	18.34	38.18	218.02	NA	0.00	0.01	0.03	1.05
MED_25_50M	6353478	1426126	6353472			No	38.56	2.13	SAMEA2619782	193313908	178792412	Mediterranean_Sea	TARA_Oceans	51.7	DCM	0.22-1.6	2009	11	23	11/23/2009__12:40:00_PM	39.41	19.38	0.54	15.16	38.48	229.55	NA	0.07	0.07	0.15	1.82
MED_30_05M	13690852	1411333	13690849			No	88.35	2.61	SAMEA2591108	239392791	222536191	Mediterranean_Sea	TARA_Oceans	5.4	SRF	0.22-1.6	2009	12	15	12/15/2009__10:40:00_AM	33.92	32.89	0.39	20.45	39.43	207.57	-0.75	0.00	0.00	0.05	0.82
MED_30_70M	7719401	1558321	7719401			No	50.16	2.0	SAMEA2591122	157823204	150115341	Mediterranean_Sea	TARA_Oceans	69.07	DCM	0.22-1.6	2009	12	15	12/15/2009__4:17:00_PM	33.93	32.77	1.1	18.98	39.26	218.13	0.25	0.01	0.00	0.02	0.67
PON_132_05M	4725253	891582	4725253	E	hot	Yes	153.16	0.89	SAMEA2623059	166713789	157339296	Pacific_Ocean_(North)	TARA_Oceans	5.45	SRF	0.22-3	2011	10	4	10/4/2011__5:49:00_PM	31.52	-159.0	0.32	25.17	35.18	197.68	-0.98	0.00	0.01	0.01	2.43
PON_133_05M	21612298	2429367	21611479			No	57.73	1.53	SAMEA2623116	269556882	241270531	Pacific_Ocean_(North)	TARA_Oceans	5.46	SRF	0.22-3	2011	10	18	10/18/2011__6:58:00_PM	35.41	-127.74	0.46	19.25	33.10	224.41	-0.67	0.00	0.29	0.02	1.91
PON_133_45M	13571271	1997374	13570555			No	25.9	1.56	SAMEA2623135	179642130	166437015	Pacific_Ocean_(North)	TARA_Oceans	47.21	DCM	0.22-3	2011	10	19	10/19/2011__2:53:00_AM	35.42	-127.69	0.2	13.16	33.24	227.69	4.83	0.08	0.46	1.30	2.84
PON_137_05M	17989132	1964086	17984939	B	cold	Yes	639.36	0.8	SAMEA2623275	185571189	172429037	Pacific_Ocean_(North)	TARA_Oceans	5.37	SRF	0.22-3	2011	12	2	12/2/2011__2:10:00_PM	14.2	-116.63	0.38	26.41	33.88	195.13	3.24	0.07	0.46	2.44	2.54
PON_137_40M	723315	149264	723313			No	3.98	3.15	SAMEA2623295	192535521	183983234	Pacific_Ocean_(North)	TARA_Oceans	44.17	DCM	0.22-3	2011	12	2	12/2/2011__5:44:00_PM	14.17	-116.71	0.05	18.59	34.37	95.41	11.00	0.31	0.88	6.05	4.66
PON_138_05M	4366515	965188	4366174	A	cold	Yes	128.06	0.93	SAMEA2623350	171139183	161149347	Pacific_Ocean_(North)	TARA_Oceans	5.35	SRF	0.22-3	2011	12	10	12/10/2011__1:58:00_PM	6.33	-102.94	0.17	26.64	33.41	196.88	-1.18	0.00	0.16	0.00	1.19
PON_138_60M	6262853	1406326	6262844	B	cold	Yes	187.94	0.81	SAMEA2623370	195911486	180638151	Pacific_Ocean_(North)	TARA_Oceans	58.1	DCM	0.22-3	2011	12	11	12/11/2011__2:14:00_PM	6.34	-102.98	0.32	19.05	34.61	77.04	22.09	0.83	1.11	12.90	8.07
PON_140_05M	15672138	1496085	15666899	D	hot	Yes	628.67	0.68	SAMEA2623426	185167291	172959746	Pacific_Ocean_(North)	TARA_Oceans	5.41	SRF	0.22-3	2011	12	21	12/21/2011__4:25:00_PM	7.41	-79.3	0.29	26.63	28.92	205.29	-3.80	0.00	0.08	0.00	0.54
PSE_100_05M	9233721	1656234	9232585	A	cold	Yes	255.86	1.1	SAMEA2622097	186567128	178806708	Pacific_Ocean_(South_East)	TARA_Oceans	5.48	SRF	0.22-3	2011	4	15	4/15/2011__1:10:00_PM	-12.99	-95.99	0.23	25.25	35.84	200.23	4.59	0.14	0.68	6.20	1.20
PSE_100_50M	6710119	1600369	6710119	B	cold	Yes	169.08	0.96	SAMEA2622119	170541918	160202146	Pacific_Ocean_(South_East)	TARA_Oceans	57.62	DCM	0.22-3	2011	4	15	4/15/2011__1:10:00_PM	-12.99	-95.99	0.29	20.65	35.54	216.79	1.50	0.16	0.78	5.70	1.90
PSE_102_05M	19158027	2090287	19157421	B	cold	Yes	600.54	0.82	SAMEA2622173	168946455	159774738	Pacific_Ocean_(South_East)	TARA_Oceans	5.48	SRF	0.22-3	2011	4	21	4/21/2011__8:16:00_PM	-5.25	-85.16	0.45	24.94	34.75	205.99	11.69	0.32	1.00	12.60	5.00
PSE_102_40M	18006890	2228725	18006556	B	cold	Yes	611.16	0.8	SAMEA2622219	204588052	194489634	Pacific_Ocean_(South_East)	TARA_Oceans	45.66	DCM	0.22-3	2011	4	22	4/22/2011__7:51:00_PM	-5.27	-85.23	0.06	19.57	34.90	103.92	20.33	1.20	1.86	24.40	10.50
