gene_callers_id	Classification
gene__1628	0
gene__1629	0
gene__1630	0
gene__1631	1
gene__1632	1
gene__1633	0
gene__1634	0
gene__1635	0
gene__1636	0
gene__1637	0
gene__1638	1
gene__1639	0
gene__1640	0
gene__1641	0
gene__1642	0
gene__1643	1
gene__1644	0
gene__1645	1
gene__1646	1
gene__1647	1
gene__1648	0
gene__1649	1
gene__1650	1
gene__1651	1
gene__1652	1
gene__1653	1
gene__1654	1
gene__1655	0
gene__1656	1
gene__1657	0
gene__1658	0
gene__1659	1
gene__1660	1
gene__1661	0
gene__1662	0
gene__1663	0
gene__1664	0
gene__1665	0
gene__1666	0
gene__1667	1
gene__1668	1
gene__1669	1
gene__1670	1
gene__1671	0
gene__1672	0
gene__1673	0
gene__1674	1
gene__1675	0
gene__1676	1
gene__1677	1
gene__1678	0
gene__1679	1
gene__1680	1
gene__1681	1
gene__1682	1
gene__1683	1
gene__1684	1
gene__1685	0
gene__1686	1
gene__1687	0
gene__1688	0
gene__1689	0
gene__1690	0
gene__1691	1
gene__1692	1
gene__1693	1
gene__1694	0
gene__1695	0
gene__1696	0
gene__1697	0
gene__1698	1
gene__1699	0
gene__1700	0
gene__1701	0
gene__1702	0
gene__1703	1
gene__1704	1
gene__1705	1
gene__1706	1
gene__1707	1
gene__1708	1
gene__1709	1
gene__1710	1
gene__1711	1
gene__1712	1
gene__1713	1
gene__1714	1
gene__1715	0
gene__1716	1
gene__1717	1
gene__1718	1
gene__1719	1
gene__1720	1
gene__1721	0
gene__1722	0
gene__1723	1
gene__1724	1
gene__1725	0
gene__1726	1
gene__1727	1
gene__1728	1
gene__1729	1
gene__1730	1
gene__1731	0
gene__1732	0
gene__1733	0
gene__1734	0
gene__1735	1
gene__1736	1
gene__1737	0
gene__1738	1
gene__1739	1
gene__1740	1
gene__1741	0
gene__1742	0
gene__1743	0
gene__1744	0
gene__1745	0
gene__1746	1
gene__1747	1
gene__1748	1
gene__1749	1
gene__1750	0
gene__1751	0
gene__1752	1
gene__1753	0
gene__1754	0
gene__1755	0
gene__1756	1
gene__1757	1
gene__1758	0
gene__1759	0
gene__1760	0
gene__1761	0
gene__1762	0
gene__1763	0
gene__1764	0
gene__1765	0
gene__1766	1
gene__1767	1
gene__1768	1
gene__1769	1
gene__1770	1
gene__1771	0
gene__1772	0
gene__1773	0
gene__1774	0
gene__1775	0
gene__1776	0
gene__1777	0
gene__1778	1
gene__1779	0
gene__1780	0
gene__1781	0
gene__1782	0
gene__1783	0
gene__1784	0
gene__1785	0
gene__1786	0
gene__1787	1
gene__1788	0
gene__1789	0
gene__1790	1
gene__1791	1
gene__1792	1
gene__1793	1
gene__1794	1
gene__1795	1
gene__1796	0
gene__1797	0
gene__1798	0
gene__1799	0
gene__1800	0
gene__1801	1
gene__1802	0
gene__1803	0
gene__1804	0
gene__1805	1
gene__1806	1
gene__1807	1
gene__1808	1
gene__1809	1
gene__1810	0
gene__1811	1
gene__1812	1
gene__1813	1
gene__1814	1
gene__1815	1
gene__1816	1
gene__1817	1
gene__1818	1
gene__1819	1
gene__1820	1
gene__1821	0
gene__1822	1
gene__1823	1
gene__1824	1
gene__1825	1
gene__1826	1
gene__1827	1
gene__1828	1
gene__1829	1
gene__1830	1
gene__1831	1
gene__1832	1
gene__1833	1
gene__1834	1
gene__1835	1
gene__1836	0
gene__1837	0
gene__1838	0
gene__1839	0
gene__1840	0
gene__1841	0
gene__1842	0
gene__1843	0
gene__1844	0
gene__1845	0
gene__1846	0
gene__1847	0
gene__1848	0
gene__1849	0
gene__1850	0
gene__1851	1
gene__1852	1
gene__1853	1
gene__1854	1
gene__1855	1
gene__1856	1
gene__1857	1
gene__1858	1
gene__1859	1
gene__1860	1
gene__1861	1
gene__1862	1
gene__1863	1
gene__1864	1
gene__1865	1
gene__1866	1
gene__1867	1
gene__1868	1
gene__1869	1
gene__1870	1
gene__1871	1
gene__1872	1
gene__1873	1
gene__1874	1
gene__1875	1
gene__1876	1
gene__1877	1
gene__1878	1
gene__1879	1
gene__1880	1
gene__1881	1
gene__1882	1
gene__1883	1
gene__1884	1
gene__1885	1
gene__1886	1
gene__1887	1
gene__1888	1
gene__1889	1
gene__1890	1
gene__1891	1
gene__1892	0
gene__1893	0
gene__1894	0
gene__1895	0
gene__1896	0
gene__1897	0
gene__1898	1
gene__1899	0
gene__1900	0
gene__1901	0
gene__1902	0
gene__1903	0
gene__1904	0
gene__1905	0
gene__1906	0
gene__1907	0
gene__1908	0
gene__1909	0
gene__1910	0
gene__1911	0
gene__1912	0
gene__1913	0
gene__1914	0
gene__1915	0
gene__1916	0
gene__1917	0
gene__1918	0
gene__1919	0
gene__1920	0
gene__1921	0
gene__1922	1
gene__1923	1
gene__1924	0
gene__1925	1
gene__1926	1
gene__1927	1
gene__1928	1
gene__1929	1
gene__1930	1
gene__1931	1
gene__1932	1
gene__1933	1
gene__1934	1
gene__1935	1
gene__1936	1
gene__1937	0
gene__1938	1
gene__1939	0
gene__1940	0
gene__1941	0
gene__1942	0
gene__1943	0
gene__1944	0
gene__1945	0
gene__1946	0
gene__1947	0
gene__1948	0
gene__1949	0
gene__1950	0
gene__1951	0
gene__1952	0
gene__1953	0
gene__1954	0
gene__1955	1
gene__1956	1
gene__1957	1
gene__1958	1
gene__1959	1
gene__1960	1
gene__1961	1
gene__1962	1
gene__1963	1
gene__1964	1
gene__1965	1
gene__1966	1
gene__1967	1
gene__1968	1
gene__1969	1
gene__1970	1
gene__1971	1
gene__1972	1
gene__1973	1
gene__1974	1
gene__1975	1
gene__1976	1
gene__1977	1
gene__1978	0
gene__1979	1
gene__1980	1
gene__1981	1
gene__1982	1
gene__1983	0
gene__1984	1
gene__1985	1
gene__1986	1
gene__1987	1
gene__1988	1
gene__1989	1
gene__1990	1
gene__1991	1
gene__1992	1
gene__1993	1
gene__1994	0
gene__1995	0
gene__1996	0
gene__1997	0
gene__1998	0
gene__1999	1
gene__2000	1
gene__2001	1
gene__2002	0
gene__2003	1
gene__2004	1
gene__2005	1
gene__2006	1
gene__2007	1
gene__2008	0
gene__2009	0
gene__2010	0
gene__2011	1
gene__2012	1
gene__2013	1
gene__2014	1
gene__2015	1
gene__2016	1
gene__2017	1
gene__2018	1
gene__2019	1
gene__2020	1
gene__2021	0
gene__2022	1
gene__2023	1
gene__2024	0
gene__2025	0
gene__2026	1
gene__2027	1
gene__2028	1
gene__2029	1
gene__2030	1
gene__2031	1
gene__2032	1
gene__2033	1
gene__2034	1
gene__2035	1
gene__2036	1
gene__2037	1
gene__2038	1
gene__2039	1
gene__2040	1
gene__2041	1
gene__2042	1
gene__2043	1
gene__2044	0
gene__2045	0
gene__2046	0
gene__2047	0
gene__2048	1
gene__2049	1
gene__2050	0
gene__2051	0
gene__2052	1
gene__2053	0
gene__2054	1
gene__2055	1
gene__2056	1
gene__2057	1
gene__2058	1
gene__2059	1
gene__2060	1
gene__2061	1
gene__2062	0
gene__2063	1
gene__2064	1
gene__2065	0
gene__2066	1
gene__2067	1
gene__2068	1
gene__2069	1
gene__2070	0
gene__2071	1
gene__2072	1
gene__2073	1
gene__2074	1
gene__2075	1
gene__2076	1
gene__2077	0
gene__2078	0
gene__2079	0
gene__2080	1
gene__2081	1
gene__2082	0
gene__2083	0
gene__2084	0
gene__2085	0
gene__2086	0
gene__2087	0
gene__2088	0
gene__2089	0
gene__2090	0
gene__2091	0
gene__2092	0
gene__2093	0
gene__2094	0
gene__2095	0
gene__2096	0
gene__2097	0
gene__2098	0
gene__2099	0
gene__2100	0
gene__2101	0
gene__2102	0
gene__2103	0
gene__2104	0
gene__2105	0
gene__2106	0
gene__2107	0
gene__2108	0
gene__2109	0
gene__2110	1
gene__2111	1
gene__2112	0
gene__2113	1
gene__2114	1
gene__2115	1
gene__2116	1
gene__2117	0
gene__2118	1
gene__2119	0
gene__2120	0
gene__2121	0
gene__2122	0
gene__2123	0
gene__2124	0
gene__2125	1
gene__2126	1
gene__2127	1
gene__2128	1
gene__2129	1
gene__2130	0
gene__2131	0
gene__2132	1
gene__2133	1
gene__2134	0
gene__2135	0
gene__2136	0
gene__2137	1
gene__2138	1
gene__2139	1
gene__2140	1
gene__2141	1
gene__2142	1
gene__2143	0
gene__2144	0
gene__2145	1
gene__2146	1
gene__2147	1
gene__2148	1
gene__2149	1
gene__2150	1
gene__2151	1
gene__2152	0
gene__2153	1
gene__2154	0
gene__2155	1
gene__2156	0
gene__2157	1
gene__2158	1
gene__2159	1
gene__2160	1
gene__2161	1
gene__2162	1
gene__2163	1
gene__2164	1
gene__2165	1
gene__2166	1
gene__2167	1
gene__2168	1
gene__2169	1
gene__2170	0
gene__2171	0
gene__2172	0
gene__2173	0
gene__2174	0
gene__2175	0
gene__2176	0
gene__2177	0
gene__2178	0
gene__2179	0
gene__2180	0
gene__2181	1
gene__2182	0
gene__2183	0
gene__2184	0
gene__2185	0
gene__2186	1
gene__2187	0
gene__2188	0
gene__2189	0
gene__2190	0
gene__2191	1
gene__2192	1
gene__2193	1
gene__2194	1
gene__2195	1
gene__2196	1
gene__2197	1
gene__2198	1
gene__2199	1
gene__2200	1
gene__2201	1
gene__2202	1
gene__2203	0
gene__2204	0
gene__2205	1
gene__2206	1
gene__2207	1
gene__2208	0
gene__2209	0
gene__2210	0
gene__2211	1
gene__2212	0
gene__2213	1
gene__2214	1
gene__2215	1
gene__2216	1
gene__2217	1
gene__2218	1
gene__2219	1
gene__2220	1
gene__2221	1
gene__2222	0
gene__2223	0
gene__2224	0
gene__2225	1
gene__2226	0
gene__2227	0
gene__2228	0
gene__2229	0
gene__2230	1
gene__2231	1
