gene_callers_id	ANE_004_05M	ANE_004_40M	ANE_150_05M	ANE_150_40M	ANE_151_05M	ANE_151_80M	ANE_152_05M	ANW_141_05M	ANW_142_05M	ANW_145_05M	ANW_146_05M	ANW_148_05M	ANW_149_05M	ASE_66_05M	ASE_66_30M	ASE_67_05M	ASE_68_05M	ASE_68_50M	ASE_70_05M	ASW_72_05M	ASW_72_100M	ASW_76_05M	ASW_78_05M	ASW_82_05M	ASW_82_40M	ION_36_05M	ION_36_17M	ION_38_05M	ION_38_25M	ION_39_25M	ION_41_05M	ION_41_60M	ION_42_05M	ION_42_80M	ION_45_05M	ION_48_05M	IOS_52_05M	IOS_52_75M	IOS_56_05M	IOS_57_05M	IOS_58_66M	IOS_62_05M	IOS_64_05M	IOS_64_65M	IOS_65_05M	IOS_65_30M	MED_18_05M	MED_18_60M	MED_23_05M	MED_25_05M	MED_25_50M	MED_30_05M	MED_30_70M	PON_132_05M	PON_133_05M	PON_133_45M	PON_137_05M	PON_137_40M	PON_138_05M	PON_138_60M	PON_140_05M	PSE_100_05M	PSE_100_50M	PSE_102_05M	PSE_102_40M	PSE_109_05M	PSE_109_30M	PSE_110_05M	PSE_110_50M	PSE_111_05M	PSE_111_90M	PSE_93_05M	PSE_93_35M	PSE_94_05M	PSE_96_05M	PSE_98_05M	PSE_99_05M	PSW_112_05M	PSW_122_05M	PSW_123_05M	PSW_124_05M	PSW_125_05M	PSW_128_05M	PSW_128_40M	RED_31_05M	RED_32_05M	RED_32_80M	RED_33_05M	RED_34_05M	RED_34_60M	SOC_84_05M	SOC_85_05M	SOC_85_90M	Classification
1688	0.0	0.0	4.602380952380001	1.78181818182	0.0	0.0	0.0	555.74916388	9.18886198547	58.7138888889	23.64	10.8131313131	24.136054421799997	19.0564102564	16.6552706553	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.5849056604	0.0	0.0	101.18138424799999	189.532110092	108.721763085	98.07052896729999	189.815013405	58.615	67.9467005076	70.4711864407	32.209439528000004	0.0	0.0	0.0	0.0	35.419047619000004	104.09855769200001	91.47858942069999	56.3464566929	50.432132964	12.991643454	73.5363881402	74.1414141414	0.0	0.0	0.0	0.0	0.0	0.873170731707	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.05704697987	161.771144279	0.0	0.0	0.0	1.0890585241700002	9.93103448276	0.0	0.8666666666670001	1.3415841584200001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	61.8121019108	90.744966443	10.1261261261	427.455357143	384.769470405	5.32380952381	0.0	0.0	0.0	0
1689	72.167816092	187.202298851	182.972413793	181.70574712599998	174.011494253	118.933333333	16.2896551724	767.824742268	163.335632184	184.314942529	186.35172413799998	176.213114754	283.016091954	414.793220339	233.49683544299998	0.7125382263	74.652173913	50.6310344828	14.5164473684	121.22118380100001	130.13970588200002	28.092198581599998	252.871264368	0.0	0.0	932.0144927539999	1657.7804878	772.758865248	1231.89962825	679.3471264369999	652.246478873	751.9037037039999	544.657232704	716.1920289860001	305.725239617	76.4619047619	195.061151079	414.74418604699997	273.852873563	415.492957746	697.970967742	513.576388889	431.86666666699995	184.928735632	575.2072368419999	781.6146496819998	36.6363636364	23.613793103400003	0.0	3.77536231884	2.7816091954	2.38620689655	2.68644067797	18.2257281553	0.0	0.0	224.749425287	0.0	41.5479452055	101.353982301	802.95	0.358870967742	5.0210772833699995	103.365942029	83.124137931	323.042704626	97.2095588235	108.591240876	97.115625	11.783908045999999	7.77210884354	0.0	0.0	1.2380952381	0.0	0.0	0.0	1.6183908046000002	10.61829653	10.864197530899999	19.8804597701	33.335504886	55.9503311258	70.8471760797	509.045454545	639.4846416380001	302.155234657	998.4516129030001	902.505415162	134.540441176	0.0	0.0	0.0	0
1690	32.178807946999996	84.4569536424	204.31182795700002	157.569230769	75.1917808219	52.6909090909	4.47826086957	840.743243243	286.554054054	272.31097561	271.25268817200003	274.401639344	376.770186335	538.892473118	247.5703125	0.0	98.7764705882	71.5266272189	25.3271604938	188.05673758900002	159.66091954	42.290540540500004	313.96621621599996	0.0	0.0	1083.22527473	1906.22857143	948.7777777780001	1493.81547619	912.268965517	798.061349693	929.538461538	771.992424242	1015.86231884	456.63247863199996	153.038709677	231.514084507	504.39634146300006	449.90070922	577.353383459	831.875675676	623.819277108	718.25	269.36809816	686.301075269	1157.48993289	16.6057142857	8.28651685393	1.2688172043000001	7.01612903226	0.752688172043	1.0806451612899999	2.77049180328	22.832167832199996	0.0	0.0	361.70059880199994	0.89247311828	72.768	87.4512195122	942.116564417	13.4458598726	10.6373626374	117.116564417	147.24516129	434.2	124.46496815299999	129.986842105	101.679558011	17.050955414	7.97740112994	0.0	0.0	12.4606741573	0.0	0.0	1.81182795699	5.431693989069999	15.909722222200001	20.9096045198	27.4567901235	31.8411764706	68.7013888889	101.503496503	546.210526316	704.525	333.410810811	1135.83544304	976.670731707	155.45731707299998	0.0	0.0	0.0	0
1691	247.116402116	422.84779050699996	498.934550989	433.297458894	446.45686901	300.738129496	83.55440414510001	873.112403101	518.149425287	365.64546684699997	436.959530026	384.236772487	591.548161121	725.310126582	354.360890302	3.8855534709199997	136.687813022	111.67975830799999	93.0635359116	331.96923076900003	318.470512821	193.94351733	664.571428571	2.06941838649	7.64361702128	1218.45592705	2180.9525268	1055.8757484999999	1573.58732612	932.482170543	948.56714472	924.4511627910001	954.243027888	1126.80114449	702.965384615	436.6484375	399.353642384	724.541827542	650.1237410069999	803.9117647060001	1019.53665689	830.882525698	1064.44630872	389.083447332	918.8283712780001	1232.44522472	89.15047619049999	60.4682080925	5.939093484419999	22.072674418600002	17.3153153153	7.289517470880001	18.8299711816	129.608695652	17.5667276051	9.05414012739	1024.70538244	0.776595744681	195.359090909	295.461876833	1063.16438356	380.565656566	256.56567425599997	985.4766355139999	924.2092050210001	1033.00595238	685.720613288	805.004431315	637.754573171	489.04388714699996	249.04490500900002	49.3703125	22.3703703704	217.29982964200002	8.391176470589999	4.84848484848	18.7867078825	33.2461538462	378.76121372	289.179525223	528.398601399	762.8520710060001	326.621659634	378.50413223099997	807.453857791	927.7795698919999	475.5765625	1206.62677165	1100.60176991	186.67246835400002	20.896153846199997	0.559426229508	0.0	1
1692	248.686170213	474.652230971	535.3884976530001	475.322929172	501.86451612900004	360.298998569	89.9113737075	883.236947791	515.122302158	342.70364500799997	450.934751773	411.32374100699997	585.9548762740001	602.772606383	333.325997249	4.02877697842	132.790625	113.81345177700001	102.44801223200001	349.637110016	372.689345315	223.33139534900002	678.809453471	2.18075117371	3.02112676056	1047.64906103	1878.81647059	894.3997509339999	1356.60244233	852.310832025	876.926470588	817.6554149089999	827.440625	978.176386913	723.926553672	490.862174579	420.305084746	750.541033435	678.924778761	768.8757763980002	1026.26832461	783.8930987819998	1045.15926493	515.6558773419999	898.207386364	1040.86685552	100.60628930799999	65.58413132689999	5.6043956044000005	16.144314868800002	23.5800561798	13.078378378399998	42.360158311300005	254.628719276	15.388804841099999	3.68282548476	1092.64501511	1.7877094972099998	183.03617945	368.555415617	967.274463007	473.224274406	290.787798408	949.037463977	937.943847073	988.473972603	695.7055118110001	815.6147757260001	744.548941799	562.58738502	303.442563482	33.7089262613	18.3658210948	224.913793103	0.6830892143809999	1.7876230661	22.7872062663	43.935483871	419.836415363	337.71492537299997	760.5422163589999	970.216216216	356.5896700140001	413.427777778	792.6518282989999	867.2	407.51675977699995	1010.48082192	904.2866043610001	189.543209877	0.0	0.0	0.0	1
1693	356.82133333300004	608.195187166	633.047021944	544.862745098	603.5093333330001	365.40234375	93.07894736840001	1119.19220056	583.269230769	393.467455621	516.677304965	498.95268138800003	697.370106762	719.16	397.065420561	6.973782771539999	173.501333333	151.102272727	121.895480226	432.25	418.298113208	274.13240418099997	944.8897849460001	7.432692307689999	20.792880258900002	1359.32463768	2351.024	1103.1402439	1735.25482625	1023.30182927	1170.32218845	1117.51733333	1069.77580071	1233.96202532	928.396226415	641.5570934259999	502.664335664	881.907534247	717.7818181819998	905.73943662	1143.46494465	867.407738095	1169.76779026	504.75199999999995	1019.68858131	1387.16507937	168.698666667	120.024	17.315602836900002	37.6787148594	55.0778816199	29.2757352941	70.0613333333	284.462406015	51.4109589041	16.2536231884	1222.39304813	8.91743119266	161.866666667	329.83984375	1171.07861635	426.027322404	291.313380282	1124.84384384	1037.27728614	1113.74525745	798.075163399	791.6297376089999	626.9215686269999	449.204142012	308.99425287400004	55.0708955224	37.8417266187	201.48732394400002	42.756363636399996	15.460317460299999	29.4143426295	68.9855072464	276.68405797099996	208.48739495799998	408.327868852	507.20270270300006	292.738666667	348.8246575340001	1057.11716621	1016.53409091	554.3527607359999	1317.4186747	1176.03814714	240.52188552200002	1.98540145985	4.5	1.1641221374	1
1694	152.279863481	296.951724138	396.81188118800003	346.574394464	300.105660377	225.35785953200002	57.718181818199994	761.6204620460001	470.868632708	330.634441088	397.947058824	395.926829268	486.267515924	487.10967741900004	304.9375	0.43795620438	94.34137931030001	99.39759036139999	56.1728813559	306.752212389	260.420886076	178.614973262	597.115789474	0.279805352798	0.759124087591	923.32	1631.72887324	808.1782729810001	1236.64130435	793.882833787	766.67826087	695.1809523810001	801.441358025	867.03058104	621.23853211	384.882833787	293.373831776	540.742120344	504.75097276300005	672.797368421	778.917808219	636.6	830.564102564	513.187347932	737.7867647060001	1122.81578947	47.4963768116	37.5063291139	1.4098939929299998	9.921671018280001	12.3811320755	5.23753665689	7.099667774089999	129.31958762899998	1.50326797386	1.5598802395200002	634.315018315	0.42092457420900004	83.9635258359	161.375886525	834.3841642230002	70.3533568905	83.5483870968	600.180811808	583.027888446	719.752727273	361.045283019	280.21978022	252.54752851700002	79.3546099291	60.6631578947	16.868055555599998	9.73476702509	28.0	4.0824742268000005	1.8850267379700003	5.67654986523	23.660899654	23.064748201399997	23.7038216561	34.905923344899996	42.4126984127	50.583061889300005	80.3494809689	912.0122699389999	875.335917313	461.60703812300005	1081.25501433	865.5196629210001	150.30897009999995	0.00486618004866	0.0	0.0	0
1695	8.61893203883	18.563106796099998	0.8794489093000001	19.7241100324	18.2297734628	15.4190938511	4.497572815530001	16.2326530612	21.067961165	1.53774680604	0.617253948967	0.5311688311689999	1.18882681564	1.09677419355	2.62287104623	0.0	0.493449781659	5.59142394822	4.32605177994	15.833333333299999	15.7839805825	10.6165048544	2.40124223602	0.0	0.0	2.02777777778	6.20974289581	2.63064295486	0.37730496453900003	0.6502808988759999	0.22683264176999998	1.12451861361	0.583216783217	1.07356948229	0.218453188602	0.36125	13.617313915899999	0.4808558558560001	1.07503410641	0.653237410072	0.607814761216	0.23919308357299998	0.316931982634	25.253236246	1.31741573034	0.820826952527	5.220064724919999	3.24757281553	1.57525773196	6.188405797100001	2.1116504854400002	1.22399020808	0.80412371134	8.44660194175	0.471682847896	0.0	1.98872604284	0.0	8.404530744339999	12.427184466	3.11612903226	11.2605177994	0.697954271961	0.7037457434729999	29.647249190900002	1.94908616188	0.901265822785	0.352258064516	28.2330097087	0.48268156424599995	0.769230769231	1.31148867314	0.9093851132690001	0.497767857143	0.0	0.49352750809100004	0.84142394822	2.67718446602	7.64724919094	4.8001618123	11.818770226500002	11.9239482201	9.917475728160001	10.013754045299999	1.17310443491	1.5288184437999999	0.742934051144	4.67335243553	3.0303468208099997	0.602222222222	0.0	0.0	0.0	0
1696	45.5925925926	95.16056910569999	143.853556485	114.179104478	87.9978070175	63.864516128999995	20.171735241500002	534.912175649	182.86749116599998	140.97101449299998	156.593001842	136.297012302	200.82718446599998	269.152219873	163.85464098100002	0.0	36.9447322971	18.3	26.4124168514	134.559726962	83.56910569109999	38.5173076923	252.38104089200002	0.0	0.0	456.43624161099996	824.7627118639999	387.35802469099997	624.837398374	436.40706319699996	457.01206896599996	409.991935484	492.698863636	447.332	206.956190476	146.04736842100002	85.7695652174	145.827292111	328.771929825	439.34458259300004	500.30078125	396.02120141300003	310.685185185	139.09861591700002	403.604278075	594.253036437	19.802734375	8.72995780591	12.722912966300001	39.1016260163	7.638115631689999	31.88306451610001	25.3514938489	14.4	0.774058577406	0.5853269537479999	335.66225165599997	0.299840510367	41.1828193833	76.2033898305	363.985294118	47.475583864099995	40.7305263158	143.897603486	133.832271762	286.808016878	165.593220339	176.076586433	133.575117371	65.9209401709	35.6736641221	3.12967032967	1.95054945055	28.0285171103	0.0	0.0	1.9	7.57216494845	25.8625792812	24.9875	53.40976645439999	47.5729166667	31.0698254364	47.2776617954	140.19123506	168.325443787	76.345703125	343.45603272	285.361050328	30.9367088608	0.0	0.0	0.0	0
1697	51.4535050072	84.8854815525	101.594924812	86.5677449602	89.2581560284	66.7882903981	25.9793330202	228.533120146	74.37435098649999	62.024308865600005	83.6757451182	65.8515330823	105.283502661	108.776266417	68.93544018060001	0.716541978387	26.2484848485	18.9729064039	19.575095057000002	51.78187251	59.1874686717	34.818597561	121.719027583	0.025768911055700002	0.0	165.64024976	303.824845312	131.694218825	226.157088123	167.905168326	143.585707388	165.88018648	130.470473402	178.236169224	105.99276759899999	70.2625968992	59.3313168916	113.59862385299999	92.0888998035	130.172330097	137.304583539	117.755598832	142.356687898	85.6465093412	155.493636364	211.889378365	39.801526717600005	30.7050799624	11.094008264500001	30.081265206799998	15.652331606199999	27.374493014899997	29.2644276254	40.7198254968	3.95285215367	0.773363178511	167.95256348799998	0.0	22.3011133603	48.7481940144	130.813160423	55.008537886899994	49.6233958539	134.50071599	138.859108159	170.933078394	122.661121673	133.60093023299999	103.873824839	71.3393999016	39.5053705693	6.07596253902	2.52950819672	29.409539473699997	0.9074074074070001	1.15816655907	4.2589238146	7.35468841002	27.8463203463	18.6554621849	44.440267765200005	49.2989528796	29.984143763200002	37.3025613661	124.055325035	139.432049579	73.0918320258	182.58997188400002	158.214285714	21.5957320688	0.0	0.0	0.0	0
