gene_callers_id	ANE_004_05M	ANE_004_40M	ANE_150_05M	ANE_150_40M	ANE_151_05M	ANE_151_80M	ANE_152_05M	ANW_141_05M	ANW_142_05M	ANW_145_05M	ANW_146_05M	ANW_148_05M	ANW_149_05M	ASE_66_05M	ASE_66_30M	ASE_67_05M	ASE_68_05M	ASE_68_50M	ASE_70_05M	ASW_72_05M	ASW_72_100M	ASW_76_05M	ASW_78_05M	ASW_82_05M	ASW_82_40M	ION_36_05M	ION_36_17M	ION_38_05M	ION_38_25M	ION_39_25M	ION_41_05M	ION_41_60M	ION_42_05M	ION_42_80M	ION_45_05M	ION_48_05M	IOS_52_05M	IOS_52_75M	IOS_56_05M	IOS_57_05M	IOS_58_66M	IOS_62_05M	IOS_64_05M	IOS_64_65M	IOS_65_05M	IOS_65_30M	MED_18_05M	MED_18_60M	MED_23_05M	MED_25_05M	MED_25_50M	MED_30_05M	MED_30_70M	PON_132_05M	PON_133_05M	PON_133_45M	PON_137_05M	PON_137_40M	PON_138_05M	PON_138_60M	PON_140_05M	PSE_100_05M	PSE_100_50M	PSE_102_05M	PSE_102_40M	PSE_109_05M	PSE_109_30M	PSE_110_05M	PSE_110_50M	PSE_111_05M	PSE_111_90M	PSE_93_05M	PSE_93_35M	PSE_94_05M	PSE_96_05M	PSE_98_05M	PSE_99_05M	PSW_112_05M	PSW_122_05M	PSW_123_05M	PSW_124_05M	PSW_125_05M	PSW_128_05M	PSW_128_40M	RED_31_05M	RED_32_05M	RED_32_80M	RED_33_05M	RED_34_05M	RED_34_60M	SOC_84_05M	SOC_85_05M	SOC_85_90M
gene__2419	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5665169576273898e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1873762814237764e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
gene__2420	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.3295736038921374e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4628827230401668e-06	8.728506136556837e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0
gene__2431	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1524064654277161e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.067056648287462e-07	0.0	0.0	0.0	0.0	0.0
gene__2404	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.565705570574518e-05	0.0	0.0	0.0	0.0	0.0	1.0765742203028612e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.4747260454060084e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0377612254389033e-07	0.0	7.876558523307906e-08	0.0	3.0931311569480815e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.687630518289348e-07	0.0	3.6768918652065565e-06	3.3790246022993853e-07	0.0	0.0	0.0	0.0	0.0
gene__2401	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.219516496439244e-05	0.0	0.0	1.4498178404918009e-06	2.911431849043357e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.004812174497801e-06	2.2539398373279e-06	2.9288755265854204e-06	2.002469281758171e-06	0.0	0.0	0.0	0.0	0.0
gene__2423	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.9584126302248317e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.198147015671487e-07	4.305585515086424e-07	0.0	4.0074326449656577e-07	0.0	0.0	0.0	0.0	0.0
gene__2399	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.238587109220665e-05	0.0	0.0	8.332286439603094e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0145606560484291e-06	0.0	6.798407106662982e-07	1.3447358901200442e-06	0.0	0.0	0.0	0.0	0.0
gene__2421	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.443235547151217e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1232288315024989e-06	0.0	0.0	1.0327566180406636e-06	0.0	0.0	0.0	0.0	0.0
gene__2441	4.004708249370356e-06	2.895726330824429e-06	3.1979726270091095e-06	2.155439334170901e-06	3.335668637570194e-06	2.0321028852483392e-06	8.062474194019407e-06	0.00022287190046564576	5.007052150919245e-06	7.89735156104191e-06	9.219692787586189e-06	7.624932257116457e-06	3.86438679347646e-06	3.6784877731180053e-06	2.3914686284962288e-06	1.9361504671393695e-05	4.797819985520345e-06	4.352705579509898e-06	2.761187054080232e-06	1.859711798680504e-06	3.009589603881887e-06	2.3245448308445225e-06	1.2961979437586052e-05	0.0001502893754458098	7.040866427706271e-05	8.376577539587742e-07	1.0791204383763272e-06	8.187673898641647e-07	8.134033252874276e-07	5.413904330325717e-07	1.314926644624646e-06	1.040150667713592e-06	1.1402217844846442e-06	1.0467713149227704e-06	1.0284454919631929e-06	2.5017690111535267e-06	1.8863915725154634e-06	1.4883045489060218e-06	1.7326918780099983e-06	3.192860263438245e-06	3.080716066288682e-06	4.058696248643837e-06	3.2639583295623083e-06	5.227601585745945e-06	1.2134782518446476e-06	4.866343291121033e-06	1.4157359035094324e-05	1.796724539662443e-05	3.24892079424784e-05	3.4568952726127365e-05	2.2308316224593407e-05	6.197555843917376e-05	3.8216716598265916e-05	2.9615724203498213e-06	1.6860877739075458e-05	3.9404436126426474e-05	9.435431200544164e-07	9.649274886285432e-05	3.0221494011791002e-06	3.1052553301174294e-06	5.35743977270404e-07	1.2266007674277944e-06	3.0177694223968565e-06	1.0924204384102724e-06	1.0864226693197993e-06	5.948365735011766e-07	1.3673136787918086e-06	9.266366321483996e-07	1.087546522592446e-06	1.5949143841121375e-06	3.2049005647036683e-06	6.52560749766574e-06	1.3872088049417443e-05	4.676406432155559e-06	2.5080045809077875e-05	2.68542396183076e-05	1.4963911740237545e-05	1.6083776058571272e-05	2.351245593139096e-06	1.727178794062744e-06	6.811029612958377e-07	1.6493204704377502e-06	2.480877022587515e-06	1.6599606386643725e-06	3.1178747071535155e-06	9.537099875740268e-07	6.655567637234737e-06	7.102282390079712e-06	1.533506095698776e-05	4.960365209346089e-06	0.00012572902644398853	0.00013984810606235037	0.00011946678354865876
gene__2387	4.808565091815363e-08	2.9019236887661448e-06	2.7852654157725083e-06	2.5838905779698815e-06	4.23726432436275e-07	4.891577788013424e-07	0.0	0.00025080732496177865	5.978795679901222e-06	2.0183267548185988e-05	1.5059691039023792e-05	1.0065889324735428e-05	6.3822137998631565e-06	7.951093739940027e-06	3.3165792857414815e-06	0.0	1.96357013151582e-07	3.539166975959301e-06	0.0	2.6974823928377778e-08	0.0	0.0	1.6917670115553377e-05	0.0	0.0	1.2565043381579378e-06	1.422179052390719e-06	1.0919391543295232e-06	9.624663915287843e-07	9.875902795491597e-07	7.863272764025427e-07	4.932509745806952e-07	8.911009528760963e-07	1.2233419858244489e-06	7.784105787786242e-08	2.308316361543915e-07	5.093506133007375e-08	6.12036170588249e-07	4.696782877535147e-06	1.0600910513542624e-05	6.890350253855897e-06	6.995220666253878e-06	2.3783695748053766e-06	2.4832898239646562e-06	5.373334013114083e-06	5.8223879282535625e-06	6.181822084784568e-07	0.0	0.0	7.273036593118676e-07	2.703102190974648e-07	3.220732184885877e-07	6.51504107459258e-07	0.0	0.0	0.0	4.1122845128681454e-08	0.0	0.0	1.7265806672869432e-08	2.4781927866954414e-08	0.0	0.0	1.0522229142672816e-06	1.5158809110570113e-06	5.273981271786703e-07	0.0	4.5638308295177024e-07	2.3835117467620198e-07	0.0	0.0	2.1461431770258087e-05	3.0610514552475884e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0044751485169756e-05	1.1545021822211525e-05	4.8622237352236675e-06	2.8023629962787816e-05	2.0734444718942575e-05	7.676044437122855e-06	0.0	0.0	0.0
